27022023,142139,001,513,1
27022023,142513,001,199,1
27022023,142541,001,608,1
27022023,142816,001,283,1
27022023,142554,001,272,1
27022023,142557,001,43,1
03032023,170118,001,689,2
03032023,170059,001,592,2
03032023,165914,001,562,2
03032023,165900,001,656,2
03032023,170103,001,642,2
03032023,170155,001,1034,2
03032023,170127,001,241,2
03032023,170348,001,688,2
03032023,170436,001,592,2
03032023,170200,001,188,2
03032023,170453,001,683,2
03032023,170925,001,51,2
03032023,170535,001,632,2
03032023,170705,001,265,2
03032023,170533,001,73,2
03032023,170549,001,568,2
03032023,170415,001,401,2
03032023,170916,001,161,2
03032023,170657,001,17,2
03032023,170732,001,122,2
03032023,170622,001,48,2
03032023,170505,001,1031,2
03032023,170739,001,147,2
03032023,171655,001,500,2
03032023,171951,001,579,2
03032023,172047,001,592,2
03032023,172002,001,526,2
03032023,171744,001,500,2
03032023,171931,001,720,2
03032023,172249,001,671,2
03032023,172044,001,66,2
03032023,172142,001,508,2
03032023,172140,001,611,2
03032023,172204,001,501,2
03032023,172321,001,690,2
03032023,172338,001,683,2
03032023,172430,001,671,2
03032023,172250,001,711,2
03032023,172302,001,200,2
03032023,172307,001,539,2
03032023,172411,001,124,2
03032023,172429,001,586,2
03032023,172503,001,583,2
03032023,172539,001,542,2
03032023,172525,001,684,2
03032023,172533,001,573,2
03032023,172449,001,46,2
03032023,172550,001,147,2
03032023,172508,001,705,2
03032023,172820,001,687,2
03032023,172645,001,714,2
03032023,172714,001,66,2
03032023,172851,001,685,2
03032023,172819,001,115,2
03032023,173003,001,627,2
03032023,172805,001,1018,2
03032023,173053,001,651,2
03032023,173114,001,36,2
03032023,173308,001,161,2
03032023,173043,001,297,2
03032023,173315,001,689,2
03032023,173124,001,610,2
03032023,173209,001,293,2
03032023,173153,001,189,2
03032023,173244,001,38,2
03032023,173304,001,190,2
03032023,173408,001,588,2
03032023,173339,001,688,2
03032023,173410,001,542,2
03032023,173150,001,401,2
03032023,173216,001,500,2
03032023,173531,001,526,2
03032023,173440,001,48,2
03032023,173715,001,586,2
03032023,173720,001,561,2
03032023,173520,001,500,2
03032023,173804,001,610,2
03032023,173742,001,682,2
03032023,173748,001,692,2
03032023,173713,001,711,2
03032023,173922,001,259,2
03032023,173956,001,592,2
03032023,174117,001,36,2
03032023,173959,001,562,2
03032023,174137,001,674,2
03032023,174253,001,293,2
03032023,174203,001,208,2
03032023,174244,001,553,2
03032023,174129,001,200,2
03032023,174132,001,539,2
03032023,174307,001,573,2
03032023,174812,001,51,2
03032023,174506,001,630,2
03032023,174446,001,273,2
03032023,174504,001,678,2
03032023,174759,001,283,2
03032023,174542,001,526,2
03032023,174606,001,542,2
03032023,174354,001,21,2
03032023,174441,001,228,2
03032023,174702,001,190,2
03032023,174623,001,50,2
03032023,174715,001,169,2
03032023,174808,001,715,2
03032023,174720,001,271,2
'03032023','175417',001,32,2
'03032023','175607',001,259,2
'03032023','175535',001,43,2
'03032023','175638',001,631,2
'03032023','175713',001,628,2
'03032023','175620',001,673,2
'03032023','175856',001,1006,2
'03032023','175802',001,685,2
'03032023','175539',001,228,2
'03032023','175756',001,657,2
'03032023','175753',001,208,2
'03032023','175856',001,713,2
'03032023','175903',001,546,2
'03032023','180034',001,112,2
'03032023','180011',001,535,2
'03032023','180125',001,544,2
'03032023','180145',001,683,2
'03032023','180151',001,512,2
'03032023','181345',001,506,2
'03032023','181338',001,43,2
'03032023','181501',001,608,2
'03032023','181532',001,133,2
'03032023','181535',001,73,2
'03032023','181842',001,36,2
'03032023','181738',001,27,2
'03032023','181658',001,673,2
'03032023','181616',001,696,2
'03032023','181830',001,200,2
